galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
1,$11.9125\pm6.8317$,$10.8395\pm7.6933$,$9.6618\pm6.3064$,$-1.3833\pm0.4619$,$0.4155\pm0.2873$,$-1.8351\pm0.2067$,$6.527\pm1.5639$,$2.1571\pm1.1255$,$1.1993\pm0.4889$,$0.5691\pm0.5987$
2,$12.685\pm7.3624$,$11.0535\pm8.4652$,$9.9906\pm6.9028$,$-1.3315\pm0.443$,$0.4054\pm0.2983$,$-1.8137\pm0.1861$,$6.4388\pm1.5285$,$2.3844\pm1.158$,$1.1555\pm0.3775$,$0.5714\pm0.7007$
3,$11.1469\pm6.9432$,$10.6561\pm7.3955$,$9.2237\pm6.2175$,$-1.2448\pm0.6065$,$0.5199\pm0.2887$,$-1.8137\pm0.1962$,$6.7569\pm2.1674$,$2.1215\pm1.1461$,$1.1662\pm0.2847$,$0.6798\pm0.6421$
4,$12.4566\pm7.3051$,$11.8332\pm8.1086$,$10.3308\pm6.6638$,$-1.2848\pm0.4793$,$0.487\pm0.2911$,$-1.883\pm0.1693$,$6.3213\pm1.6085$,$2.3554\pm1.2016$,$1.1684\pm0.3108$,$0.5866\pm0.6947$
5,$10.7281\pm7.2243$,$10.2527\pm7.9605$,$8.831\pm6.4529$,$-1.4195\pm0.4175$,$0.3926\pm0.2884$,$-1.8303\pm0.1792$,$6.913\pm2.1216$,$2.2933\pm1.0646$,$1.204\pm0.3664$,$0.5032\pm0.5461$
6,$10.6115\pm5.7416$,$10.5404\pm6.8572$,$8.9242\pm5.2795$,$-1.4176\pm0.4554$,$0.4985\pm0.2838$,$-1.8065\pm0.1978$,$6.2194\pm1.1294$,$1.9274\pm1.1139$,$1.1601\pm0.326$,$0.7076\pm0.6751$
7,$15.656\pm8.2334$,$15.8399\pm8.5124$,$13.5533\pm7.2472$,$-1.1837\pm0.471$,$0.4554\pm0.2443$,$-1.9194\pm0.2015$,$5.5023\pm0.5793$,$2.5959\pm1.3612$,$1.1228\pm0.3134$,$0.5915\pm0.629$
8,$12.6601\pm7.2138$,$11.7948\pm7.9564$,$10.436\pm6.5859$,$-1.3526\pm0.432$,$0.4181\pm0.2693$,$-1.8211\pm0.2067$,$6.0498\pm1.1209$,$2.3039\pm1.1882$,$1.2142\pm0.3753$,$0.5074\pm0.4015$
9,$13.6552\pm7.8946$,$12.9203\pm8.4275$,$11.414\pm7.1022$,$-1.2494\pm0.4614$,$0.4789\pm0.2514$,$-1.937\pm0.2114$,$6.2719\pm2.0642$,$2.4898\pm1.2546$,$1.1365\pm0.2416$,$0.4416\pm0.234$
10,$11.7555\pm7.0367$,$11.3743\pm7.8314$,$9.7761\pm6.4105$,$-1.2842\pm0.5128$,$0.5038\pm0.2649$,$-1.8099\pm0.2065$,$7.0091\pm2.366$,$2.3015\pm1.1987$,$1.1867\pm0.3409$,$0.7588\pm0.9329$
11,$12.2968\pm7.2309$,$12.445\pm7.4167$,$10.62\pm6.3614$,$-1.3564\pm0.4634$,$0.508\pm0.2694$,$-1.8391\pm0.1971$,$6.4975\pm1.9846$,$2.1333\pm1.2673$,$1.1356\pm0.3284$,$0.7153\pm0.8047$
12,$11.2572\pm6.2334$,$10.6625\pm7.2039$,$9.2779\pm5.7674$,$-1.3639\pm0.4706$,$0.4431\pm0.3165$,$-1.8361\pm0.179$,$6.359\pm1.3704$,$2.1505\pm1.0834$,$1.1323\pm0.2375$,$0.5535\pm0.5642$
13,$12.4047\pm7.7316$,$11.9135\pm8.3151$,$10.4238\pm6.9767$,$-1.3226\pm0.4931$,$0.4673\pm0.2861$,$-1.8338\pm0.2066$,$6.2448\pm1.969$,$2.2188\pm1.2277$,$1.1088\pm0.3071$,$0.6854\pm0.8216$
14,$9.5431\pm5.5292$,$9.0172\pm6.1248$,$7.8498\pm4.9824$,$-1.3983\pm0.4803$,$0.5078\pm0.3158$,$-1.7665\pm0.1936$,$6.8864\pm2.5534$,$2.0014\pm0.9617$,$1.0859\pm0.2832$,$0.6019\pm0.5699$
15,$10.5845\pm6.0073$,$9.2662\pm6.6521$,$8.3376\pm5.4054$,$-1.3868\pm0.4859$,$0.4583\pm0.3053$,$-1.8072\pm0.1803$,$6.7656\pm1.8809$,$2.0911\pm1.2289$,$1.2\pm0.3681$,$0.646\pm0.599$
16,$12.2604\pm6.9968$,$10.8796\pm7.715$,$9.8208\pm6.3644$,$-1.3033\pm0.5069$,$0.4873\pm0.2906$,$-1.8277\pm0.2088$,$6.2011\pm1.7555$,$2.3418\pm1.2597$,$1.1202\pm0.2612$,$0.6077\pm0.7307$
17,$12.2988\pm7.9278$,$11.7575\pm8.445$,$10.1636\pm7.0848$,$-1.3657\pm0.425$,$0.4161\pm0.2858$,$-1.8021\pm0.2135$,$6.3693\pm1.6132$,$2.2756\pm1.0767$,$1.1899\pm0.3114$,$0.5048\pm0.5379$
18,$11.4402\pm7.0128$,$10.9271\pm7.6279$,$9.5899\pm6.3931$,$-1.2859\pm0.4935$,$0.5156\pm0.2817$,$-1.8542\pm0.2037$,$6.2928\pm1.8107$,$2.2717\pm1.1456$,$1.1583\pm0.2521$,$0.5684\pm0.4346$
