galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
1.0,6.8317,7.6933,6.3064,0.4619,0.2873,0.2067,1.5639,1.1255,0.4889,0.5987
2.0,7.3624,8.4652,6.9028,0.443,0.2983,0.1861,1.5285,1.158,0.3775,0.7007
3.0,6.9432,7.3955,6.2175,0.6065,0.2887,0.1962,2.1674,1.1461,0.2847,0.6421
4.0,7.3051,8.1086,6.6638,0.4793,0.2911,0.1693,1.6085,1.2016,0.3108,0.6947
5.0,7.2243,7.9605,6.4529,0.4175,0.2884,0.1792,2.1216,1.0646,0.3664,0.5461
6.0,5.7416,6.8572,5.2795,0.4554,0.2838,0.1978,1.1294,1.1139,0.326,0.6751
7.0,8.2334,8.5124,7.2472,0.471,0.2443,0.2015,0.5793,1.3612,0.3134,0.629
8.0,7.2138,7.9564,6.5859,0.432,0.2693,0.2067,1.1209,1.1882,0.3753,0.4015
9.0,7.8946,8.4275,7.1022,0.4614,0.2514,0.2114,2.0642,1.2546,0.2416,0.234
10.0,7.0367,7.8314,6.4105,0.5128,0.2649,0.2065,2.366,1.1987,0.3409,0.9329
11.0,7.2309,7.4167,6.3614,0.4634,0.2694,0.1971,1.9846,1.2673,0.3284,0.8047
12.0,6.2334,7.2039,5.7674,0.4706,0.3165,0.179,1.3704,1.0834,0.2375,0.5642
13.0,7.7316,8.3151,6.9767,0.4931,0.2861,0.2066,1.969,1.2277,0.3071,0.8216
14.0,5.5292,6.1248,4.9824,0.4803,0.3158,0.1936,2.5534,0.9617,0.2832,0.5699
15.0,6.0073,6.6521,5.4054,0.4859,0.3053,0.1803,1.8809,1.2289,0.3681,0.599
16.0,6.9968,7.715,6.3644,0.5069,0.2906,0.2088,1.7555,1.2597,0.2612,0.7307
17.0,7.9278,8.445,7.0848,0.425,0.2858,0.2135,1.6132,1.0767,0.3114,0.5379
18.0,7.0128,7.6279,6.3931,0.4935,0.2817,0.2037,1.8107,1.1456,0.2521,0.4346
19.0,6.5319,6.8916,5.7894,0.4385,0.2882,0.1895,1.5233,1.154,0.3114,0.5818
20.0,7.2185,7.17,6.2619,0.4371,0.2727,0.1873,1.8957,1.1885,0.3464,0.6412
21.0,7.0739,7.2062,6.1599,0.4073,0.2699,0.1934,1.7547,1.2162,0.5367,0.6394
22.0,7.391,7.9873,6.6811,0.5069,0.3044,0.1807,2.2498,1.1022,0.2485,0.763
23.0,6.1901,6.8446,5.6138,0.4685,0.3114,0.1813,1.8314,1.091,0.2721,0.4753
24.0,7.0441,7.2471,6.1706,0.4567,0.2632,0.2115,1.8256,1.1807,0.2344,0.6655
