galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
1.0,11.9125,10.8395,9.6618,-1.3833,0.4155,-1.8351,6.527,2.1571,1.1993,0.5691
2.0,12.685,11.0535,9.9906,-1.3315,0.4054,-1.8137,6.4388,2.3844,1.1555,0.5714
3.0,11.1469,10.6561,9.2237,-1.2448,0.5199,-1.8137,6.7569,2.1215,1.1662,0.6798
4.0,12.4566,11.8332,10.3308,-1.2848,0.487,-1.883,6.3213,2.3554,1.1684,0.5866
5.0,10.7281,10.2527,8.831,-1.4195,0.3926,-1.8303,6.913,2.2933,1.204,0.5032
6.0,10.6115,10.5404,8.9242,-1.4176,0.4985,-1.8065,6.2194,1.9274,1.1601,0.7076
7.0,15.656,15.8399,13.5533,-1.1837,0.4554,-1.9194,5.5023,2.5959,1.1228,0.5915
8.0,12.6601,11.7948,10.436,-1.3526,0.4181,-1.8211,6.0498,2.3039,1.2142,0.5074
9.0,13.6552,12.9203,11.414,-1.2494,0.4789,-1.937,6.2719,2.4898,1.1365,0.4416
10.0,11.7555,11.3743,9.7761,-1.2842,0.5038,-1.8099,7.0091,2.3015,1.1867,0.7588
11.0,12.2968,12.445,10.62,-1.3564,0.508,-1.8391,6.4975,2.1333,1.1356,0.7153
12.0,11.2572,10.6625,9.2779,-1.3639,0.4431,-1.8361,6.359,2.1505,1.1323,0.5535
13.0,12.4047,11.9135,10.4238,-1.3226,0.4673,-1.8338,6.2448,2.2188,1.1088,0.6854
14.0,9.5431,9.0172,7.8498,-1.3983,0.5078,-1.7665,6.8864,2.0014,1.0859,0.6019
15.0,10.5845,9.2662,8.3376,-1.3868,0.4583,-1.8072,6.7656,2.0911,1.2,0.646
16.0,12.2604,10.8796,9.8208,-1.3033,0.4873,-1.8277,6.2011,2.3418,1.1202,0.6077
17.0,12.2988,11.7575,10.1636,-1.3657,0.4161,-1.8021,6.3693,2.2756,1.1899,0.5048
18.0,11.4402,10.9271,9.5899,-1.2859,0.5156,-1.8542,6.2928,2.2717,1.1583,0.5684
19.0,10.8467,10.703,9.2052,-1.3779,0.5145,-1.8335,6.4497,2.0972,1.1636,0.6473
20.0,11.3959,11.7101,9.9256,-1.274,0.5207,-1.7834,6.4744,2.4499,1.1693,0.574
21.0,11.7864,11.81,10.1062,-1.3287,0.5354,-1.8113,6.2159,2.1932,1.2798,0.6811
22.0,11.2609,10.4288,9.1937,-1.352,0.4134,-1.8184,6.7652,2.2654,1.1191,0.6243
23.0,10.9404,9.8224,8.827,-1.3128,0.5132,-1.7886,6.5072,2.1845,1.1545,0.571
24.0,11.7526,11.7946,10.0138,-1.2637,0.496,-1.8412,6.5272,2.3804,1.1181,0.6193
25.0,11.4933,12.1632,10.0992,-1.3047,0.4828,-1.8294,6.8262,2.3283,1.1847,0.5957
26.0,11.0647,10.5435,9.159,-1.3216,0.4502,-1.8106,6.7407,2.2576,1.2317,0.5143
27.0,11.2561,10.2124,9.1232,-1.2594,0.4847,-1.8171,6.8378,2.5082,1.2493,0.5303
28.0,12.9668,12.4473,10.8863,-1.2874,0.4847,-1.8447,6.2313,2.1909,1.2331,0.703
29.0,10.1461,10.1639,8.703,-1.4847,0.5932,-1.8105,5.8893,1.6856,1.2228,0.9826
30.0,10.5668,10.0627,8.7555,-1.4448,0.4836,-1.8234,6.671,2.0553,1.1831,0.7137
31.0,10.5884,11.1527,9.1625,-1.377,0.4118,-1.8051,6.9643,2.4533,1.1253,0.4122
32.0,12.8759,12.905,11.1015,-1.3708,0.4451,-1.8542,5.924,2.1626,1.1905,0.5068
33.0,11.7014,11.99,10.0523,-1.2752,0.5155,-1.8803,6.0764,2.2818,1.1605,0.6098
34.0,12.2902,10.8683,9.8453,-1.3517,0.4418,-1.8158,6.4506,2.2645,1.3119,0.5581
35.0,11.0619,9.8352,8.8484,-1.4309,0.4576,-1.8151,6.7038,1.9857,1.1732,0.7634
36.0,10.9373,9.722,8.7404,-1.3659,0.3966,-1.8653,6.623,2.466,1.1802,0.4041
37.0,11.9739,10.8605,9.6139,-1.178,0.5274,-1.8327,6.3677,2.2913,1.1855,0.7323
38.0,11.4102,10.9057,9.4477,-1.3898,0.4067,-1.8132,6.8761,2.2921,1.1469,0.4689
39.0,9.6569,8.4068,7.5511,-1.432,0.4217,-1.7811,7.1039,2.1612,1.1458,0.6286
40.0,11.2415,10.4276,9.1491,-1.3313,0.4068,-1.8175,6.5697,2.3262,1.0762,0.5221
41.0,9.7037,9.4506,8.112,-1.3961,0.4894,-1.8179,6.5142,2.0416,1.1073,0.5523
42.0,9.8377,9.5921,8.1268,-1.4471,0.4832,-1.8362,6.7907,1.9836,1.1404,0.7889
43.0,12.448,12.1822,10.5015,-1.192,0.5943,-1.825,6.6258,2.1363,1.2787,0.7652
44.0,13.1494,12.9127,11.1396,-1.2745,0.4689,-1.8468,6.1907,2.4133,1.2417,0.55
45.0,10.2819,9.2314,8.2323,-1.3923,0.4548,-1.7865,6.3989,2.1046,1.1973,0.6581
46.0,11.4552,10.4781,9.3013,-1.3496,0.4588,-1.7936,6.4277,2.1909,1.1579,0.5319
47.0,10.9654,10.8415,9.2845,-1.4341,0.4658,-1.8443,6.7629,2.0348,1.2028,0.5067
48.0,11.9162,12.1196,10.2546,-1.3614,0.4598,-1.8448,6.1789,2.0312,1.1501,0.6655
49.0,11.3166,10.9846,9.5333,-1.4097,0.4983,-1.8208,6.7271,2.049,1.1046,0.6185
50.0,13.826,13.0499,11.5002,-1.2427,0.4582,-1.8327,6.2244,2.4778,1.1306,0.6433
51.0,11.7839,10.6616,9.5323,-1.3087,0.45,-1.8038,6.2808,2.2078,1.1475,0.5346
52.0,10.4752,10.3209,8.8412,-1.2748,0.5588,-1.8438,6.6011,2.225,1.1586,0.6381
53.0,10.1527,9.8587,8.5235,-1.424,0.5,-1.8036,6.347,2.0219,1.1983,0.6042
54.0,11.7576,11.3313,9.8807,-1.3375,0.4667,-1.8575,6.6217,2.432,1.2251,0.473
55.0,11.1274,10.2156,9.0748,-1.2898,0.4931,-1.8058,6.993,2.1274,1.248,0.7281
56.0,10.747,9.9884,8.7777,-1.3575,0.5282,-1.8169,6.7157,2.0255,1.1633,0.7054
57.0,10.2149,9.221,8.0812,-1.4017,0.4619,-1.7959,6.7966,2.0463,1.1008,0.6836
58.0,12.3117,12.335,10.6229,-1.3239,0.4875,-1.8453,5.8932,2.1538,1.179,0.748
59.0,12.2876,11.325,10.0481,-1.3305,0.4384,-1.8349,6.4188,2.2642,1.167,0.5839
60.0,11.7124,11.3175,9.8826,-1.3698,0.5126,-1.8358,6.1535,2.0593,1.2753,0.7732
61.0,9.5625,9.5303,8.0782,-1.306,0.5511,-1.7999,7.2766,2.1769,1.1231,0.6457
62.0,10.798,10.4507,9.0523,-1.4223,0.4547,-1.8187,6.5272,2.0918,1.1238,0.621
63.0,11.9101,11.0328,9.751,-1.3567,0.4497,-1.8457,6.0507,2.0887,1.1943,0.609
64.0,10.8923,10.4785,9.1235,-1.3349,0.5204,-1.819,6.2359,2.2226,1.2122,0.5606
65.0,11.3395,10.7577,9.4265,-1.3136,0.4885,-1.8018,6.2387,2.2025,1.1774,0.5888
66.0,11.369,10.6603,9.378,-1.2463,0.5301,-1.8022,6.4169,2.3368,1.1985,0.6089
67.0,11.9761,10.6691,9.5702,-1.3341,0.4449,-1.8085,6.1275,2.2413,1.2234,0.5503
68.0,12.0328,11.452,9.9766,-1.306,0.4476,-1.8439,6.5994,2.3157,1.1531,0.5372
69.0,10.4421,9.3304,8.3365,-1.4845,0.4304,-1.8283,6.5763,2.0615,1.1682,0.5273
70.0,10.393,10.115,8.7217,-1.391,0.4632,-1.8063,6.5132,2.1603,1.1707,0.5958
71.0,12.6373,11.8974,10.4587,-1.2767,0.459,-1.8674,6.0491,2.3284,1.1195,0.5925
72.0,11.286,10.7462,9.3251,-1.2543,0.5582,-1.8247,6.8188,2.0242,1.2175,0.7498
73.0,13.0583,13.3469,11.3168,-1.1933,0.5376,-1.8334,6.2055,2.4306,1.1636,0.5828
74.0,12.569,11.8205,10.4622,-1.2408,0.5196,-1.8616,6.0675,2.4117,1.1926,0.6666
75.0,11.113,8.6142,8.2751,-1.387,0.3743,-1.7678,6.7535,2.2295,1.1076,0.4583
76.0,10.2628,10.4387,8.7662,-1.2867,0.4886,-1.8062,7.0986,2.2685,1.1124,0.5494
77.0,11.2751,10.6497,9.3608,-1.3568,0.4758,-1.8178,6.5573,2.2914,1.2652,0.6051
78.0,11.0392,10.0111,8.9694,-1.405,0.4438,-1.8368,6.5931,2.1899,1.1942,0.461
79.0,10.8565,11.459,9.4211,-1.3707,0.4556,-1.8021,6.7603,2.3053,1.2535,0.5611
80.0,13.7839,12.7333,11.3367,-1.2263,0.4602,-1.8948,6.3181,2.6171,1.259,0.4881
81.0,12.2379,11.0863,9.8794,-1.2306,0.4761,-1.8505,6.1432,2.5142,1.2048,0.5175
82.0,12.0005,11.101,9.8608,-1.3166,0.4694,-1.8867,6.3208,2.3908,1.2412,0.5606
83.0,10.7037,10.8629,9.2802,-1.3433,0.53,-1.843,6.0478,2.1399,1.1142,0.6464
84.0,12.2616,11.1357,9.9719,-1.3024,0.4832,-1.83,6.287,2.2822,1.2681,0.5601
85.0,11.6036,11.0933,9.4925,-1.2732,0.4848,-1.8114,6.4425,2.1426,1.1201,0.6923
86.0,10.1343,9.4421,8.2817,-1.4142,0.5265,-1.7829,6.3104,2.0174,1.1724,0.6301
87.0,11.0732,10.2854,9.0425,-1.3866,0.4657,-1.8667,6.6311,2.1019,1.2052,0.6166
88.0,11.0367,10.4418,9.0898,-1.295,0.43,-1.7868,7.0157,2.3395,1.1326,0.5834
89.0,10.6844,10.8761,9.1655,-1.4014,0.4655,-1.8422,6.6335,2.0766,1.0473,0.531
90.0,12.5099,11.9051,10.4365,-1.2396,0.5021,-1.8338,6.0005,2.3842,1.2013,0.6382
91.0,10.9398,10.8514,9.2528,-1.2518,0.5759,-1.7964,6.6686,2.024,1.1987,0.8021
92.0,10.5586,9.4602,8.3555,-1.4019,0.3967,-1.8137,6.4166,2.07,1.1973,0.591
93.0,12.2004,12.3387,10.4743,-1.3143,0.4744,-1.8416,6.4237,2.302,1.2262,0.5511
94.0,11.0837,10.8335,9.1992,-1.3447,0.4814,-1.7794,6.618,2.1262,1.1885,0.5357
95.0,11.0076,10.84,9.3597,-1.4083,0.4818,-1.8184,7.1457,2.0957,1.208,0.7579
96.0,10.8863,10.5939,9.1844,-1.3728,0.4392,-1.8174,6.296,2.2555,1.1332,0.5037
97.0,11.0055,10.802,9.2425,-1.3126,0.4795,-1.8126,6.5127,2.3587,1.2235,0.5916
98.0,10.2901,9.8408,8.5569,-1.3935,0.4484,-1.7936,6.8822,2.0823,1.1173,0.677
99.0,11.3892,10.476,9.2227,-1.3265,0.4514,-1.8365,6.7949,2.2833,1.1718,0.5333
100.0,11.6592,11.4589,9.9161,-1.3977,0.4866,-1.8401,6.1633,2.047,1.1223,0.6152
